Date,Headliner,Genre_Headliner,Opener,Venue,"City, State",Who,Reference,,,City,State,,_Full Date,Month,Day,Year,Day of Week,,Opener_,Opener_1,Opener_2,Opener_3,Opener_4,Opener_5,Opener_6,Opener_7,Opener_8,Opener_9,Opener_10,Opener_11,Opener_12,Opener_13,Opener_14,Opener_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/1986,The Alarm,New Wave,,UCLA,"Los Angeles, California",Mike,https://www.setlist.fm/setlist/the-alarm/1986/ucla-los-angeles-ca-3dda527.html,,,Los Angeles, California,,April 12 1986,April,12,1986,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interpol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rancid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/1986,Blancmange,New Wave,,Crawford Hall,"Irvine, California",Mike,https://www.setlist.fm/setlist/blancmange/1986/crawford-hall-irvine-ca-bfc0dfa.html,,,Irvine, California,,April 15 1986,April,15,1986,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kings of Leon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Lee Tasjan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/1986,Beach Boys,Classic Rock,,Pacific Amphitheatre,"Costa Mesa, California",Mike,,,,Costa Mesa, California,,July 16 1986,July,16,1986,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Psychedelic Furs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wrecks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/1986,The Art of Noise,Synthpop,,Pacific Amphitheatre,"Costa Mesa, California",Mike,https://www.setlist.fm/setlist/art-of-noise/1986/pacific-amphitheatre-costa-mesa-ca-bff113e.html,,,Costa Mesa, California,,July 31 1986,July,31,1986,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Violent Femmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Interrupters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/1987,Run DMC,Rap,Beastie Boys,Pacific Amphitheatre,"Costa Mesa, California",Mike,https://www.setlist.fm/setlist/rundmc/1987/pacific-amphitheatre-costa-mesa-ca-2be3cc0a.html,,,Costa Mesa, California,,June 20 1987,June,20,1987,Saturday,,Beastie Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/1987,Duran Duran,New Wave,,Irvine Meadows,"Irvine, California",Dori,,,,Irvine, California,,July 27 1987,July,27,1987,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/1987,Oingo Boingo,New Wave,"Hoodoo Gurus,Bangles, Squeeze,Chris Isaak,The Fixx",Caliente Racetrack,"Tijuana, Mexico",Dori,MexFest,,,Tijuana, Mexico,,June 30 1987,June,30,1987,Tuesday,,Hoodoo Gurus,Bangles, Squeeze,Chris Isaak,The Fixx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/1988,No Doubt,Alternative,The Nylons,Disneyland,"Anaheim, California",Dori,,,,Anaheim, California,,March 4 1988,March,4,1988,Friday,,The Nylons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/1988,Depeche Mode,New Wave,"Thomas Dolby,Wire,OMD",The Rose Bowl,"Pasadena, California",Mike,,,,Pasadena, California,,June 18 1988,June,18,1988,Saturday,,Thomas Dolby,Wire,OMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/1988,UB40,Reggae,,Pacific Amphitheatre,"Costa Mesa, California",Dori,,,,Costa Mesa, California,,September 9 1988,September,9,1988,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
